studio,animes,sources,genres,male_score,female_score
Millepensee,"Teekyuu 7, Cop Craft: Utsukushiki Onna Kishi! Toraware no Yousei wo Oe!, Wake Up, Girls! Seishun no Kage, Teekyuu 5, Usakame Special, Kumo desu ga, Nani ka?, Teekyuu 7 Specials, Teekyuu 4, Berserk 2nd Season, Berserk Recap, Wake Up, Girls! Beyond the Bottom, Teekyuu 4 Specials, Wake Up, Girls! Shin Shou, Teekyuu 8, Usakame, Teekyuu 8 Specials, Cop Craft, Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta, Takamiya Nasuno desu! Teekyuu Spin-off Special, Berserk, Teekyuu 9, Takamiya Nasuno desu! Teekyuu Spin-off, Teekyuu 6 Specials, Berserk: Majo no Tsuisou, Teekyuu 6, Kanojo wa Zombie, Teekyuu 5 Specials","Light novel, Manga, Music, Original","Action, Adventure, Fantasy, Comedy, Sports, Action, Adventure, Comedy, Fantasy, Mystery, Comedy, Drama, Romance, Action, Adventure, Drama, Fantasy, Horror, Supernatural, Comedy, Slice of Life, Action, Fantasy, Sci-Fi, Action, Adventure, Drama, Fantasy, Horror",,8.5
Mimoid,"Darkroom, Inside, 9-gatsu, Philip, 2005, Trepanation, Poketoon","Game, Original","Action, UNKNOWN, Adventure, Comedy, Avant Garde",,
Minakata Laboratory,"Diary, Suna no Wakusei feat. Hatsune Miku, Clock Lock Works, \"0\", Wonderland to Hitsuji no Uta, World's End Umbrella, Sajou no Yumekui Shoujo, Juntoumei Shounen","Music, Original",UNKNOWN,,
Minami Machi Bugyousho,"Terra e... (TV) Specials, Tenkuu Danzai Skelter+Heaven, Gallery Fake, Terra e... (TV), Jigen Sengokushi: Kuro no Shishi - Jinnai-hen","Manga, Game, Unknown","Action, Adventure, Sci-Fi, Adventure, Drama, Sci-Fi, Action, Drama, Sci-Fi, Mystery, Sci-Fi",,
Mippei Eigeki Kiryuukan,Chika Gentou Gekiga: Shoujo Tsubaki,Manga,"Drama, Horror",,
Mirai Film,"Lost Utopia, Eternity","Unknown, Original","Action, Fantasy, Supernatural, Avant Garde",,
Mirai Fusion,Chinka,Original,Action,,
Miyu Productions,"Yamanaka Sadao ni Sasageru Manga Eiga \"Nezumikozou Jirokichi\", Bakeneko Anzu-chan","Manga, Original","Fantasy, UNKNOWN",,
MoMo Production,Amakano,Visual novel,Hentai,,
Mokai Technology,"Qiang Shen Ji: Tegong Shijie Pian, Qiang Shen Ji: Xuezu Mishi Pian, Qiang Shen Ji",Game,"Action, Sci-Fi",,
Momoi Planning,"Injuu Daikessen, Injuu Onna Kyoushi",Unknown,Hentai,,
Monster's Egg,Odoru Mowai-kun,Original,Comedy,,
MontBlanc Pictures,"Houkago Midnighters, Houkago Midnighters: Short Movies Season 2, FLCL: Grunge","Unknown, Original","Fantasy, Action, Avant Garde, Comedy, Sci-Fi",,
MooGoo,"Chuukan Senshi Mr. Chun, Joshikousei Nobunaga-chan!!, Gokicha!!, Seiyuu Deka","Manga, Original","Comedy, Comedy, Ecchi",,
Mook Animation,"Triangle Heart: Sazanami Joshi Ryo, Fukuyama Gekijou: Natsu no Himitsu, Asgaldh: The Distortion Testament, Kurohime: Shikkoku no Yakata, Milk House Dreaming: Ai no Shiki, Rusty Nail, Gibomai, Sin in the Rain, Shin Ruri-iro no Yuki","Visual novel, Manga, Music, Unknown, 4-koma manga","Fantasy, Hentai, UNKNOWN, Mystery, Action, Sci-Fi",,
Mook DLE,Rocket Girls,Light novel,"Adventure, Sci-Fi",,
Moss Design Unit,"Riding the Storm, Survivor",Music,"UNKNOWN, Supernatural",,
Motion Magic,"Wu Dong Qian Kun, Yuan Zun, Shanhe Jian Xin 2nd Season, Doupo Cangqiong 2nd Season, Shanhe Jian Xin, Doupo Cangqiong 2nd Season Specials, Doupo Cangqiong: San Nian Zhi Yue, Doupo Cangqiong Specials, Doupo Cangqiong: Nian Fan, Doupo Cangqiong 3rd Season, Wu Dong Qian Kun 2nd Season, Doupo Cangqiong: Yuanqi, Da Zhu Zai Nian Fan, Doupo Cangqiong 4th Season","Web novel, Novel","Action, Adventure, Fantasy, Action, Fantasy, Action, Adventure, Fantasy, Romance, Action, Adventure, Fantasy, Romance, Supernatural",,
Mouse,"Issho ni H Shiyo, Otoko no Ko Ojousama",Original,Hentai,,
Mousou Senka,"Cosplay Change: Pure-kei Joshidaisei no Kiken na Seiheki, Karada de Kaiketsu Hyakkiya Tantei Jimusho, Summer: Inaka no Seikatsu","Manga, Other, Game",Hentai,,
Movic,JaJa Uma! Quartet,Manga,"Adventure, Comedy, Fantasy",,
Mushi Production,"Cleopatra, Batain Lai!! Minami no Shima no Mizu Monogatari, Noman, Ashita no Joe Pilots, Muumin (1972), Kyojin no Hoshi tai Tetsuwan Atom, Osu, Muumin, Zouressha ga Yatte Kita, Dororo to Hyakkimaru, Hikawa Maru Monogatari, Yuki, Jungle Taitei, Asu wo Tsukutta Otoko: Tanabe Sakurou to Biwako Sosui, 0 Man, Wanpaku Tanteidan, Shin Takarajima, Jungle Taitei Movie, Kuzuryuugawa to Shounen, Kanashimi no Belladonna, Wata no Kuni Hoshi Pilot, Jungle Taitei: Susume Leo!, Ashita no Joe, Nagasaki 1945: Angelus no Kane, Shizuku, Tetsuwan Atom: Uchuu no Yuusha, Senya Ichiya Monogatari, Wata no Kuni Hoshi, Aru Machi Kado no Monogatari, Gokuu no Daibouken, Wonder 3, Ningyo, Ooi! Adacchii!, Kuma no Minakuro to Kouhei Jiisan, Wonder Beat Scramble, Nippon Tanjou, Tsuru ni Notte: Tomoko no Bouken, Video Ehon Nippon Mukashibahanshi, Tetsuwan Atom, Hi no Ame ga Furu, Dororo Pilot, Sasurai no Taiyou, Pipi Tobenai Hotaru, Wansa-kun, Ushiro no Shoumen Daare, Ribbon no Kishi, Ashita no Joe (Movie), Ribbon no Kishi Pilot, Tobacco to Hai","Manga, Other, Book, Original, Unknown, Novel","Adventure, Comedy, Fantasy, Slice of Life, Action, Adventure, Drama, Sci-Fi, Drama, Fantasy, Romance, Action, Adventure, Slice of Life, Comedy, Action, Adventure, Comedy, Sci-Fi, Action, Adventure, Action, Fantasy, Mystery, Romance, Drama, Fantasy, Adventure, Fantasy, Award Winning, Drama, Romance, Action, Sci-Fi, Drama, Sports, Action, Mystery, Sports, Fantasy, Drama, UNKNOWN, Action, Drama, Sports, Avant Garde, Drama, Action, Adventure, Supernatural, Comedy, Fantasy, Sci-Fi",,
Myung Films,Tae-il,Original,"Drama, Slice of Life",,
NANON CREATIVE,Storywriter (2022),Original,UNKNOWN,,
NAZ,"Anime Mitai na, Id:Invaded, Hoshi no Samidare, Leopard Eyes, Itazuraguma no Gloomy, Match Shoujo PV, Hamatora The Animation: Saishuukai Chokuzen! Mao ga Okuru, Infinite Dendrogram, DRAMAtical Murder, Hamatora The Animation, Hajimete no Gal, Angolmois: Genkou Kassenki, Hoshi no Samidare: Zenhan-sen, Id:Indeed, Hajimete no Gal: Hajimete no Bunkasai, DRAMAtical Murder: Data_xx_Transitory, Thermae Romae Novae, Ore ga Suki nano wa Imouto dakedo Imouto ja Nai Specials, Special Kid Factory, MONSTER GENERATiON, Ore ga Suki nano wa Imouto dakedo Imouto ja Nai","Visual novel, Light novel, Manga, Other, Game, Mixed media, Original, Web manga","Comedy, Mystery, Boys Love, Drama, Sci-Fi, Comedy, Comedy, Romance, Ecchi, Action, Mystery, Supernatural, Mystery, Sci-Fi, Action, Fantasy, Comedy, Slice of Life, Action, Sci-Fi, UNKNOWN, Action, Drama, Mystery, Sci-Fi, Suspense, Action, Adventure, Comedy, Drama, Avant Garde, Comedy, Ecchi",,0.0
NHK,Gakkatsu!,Original,Comedy,,
NHK Art,Sore Shikanai Wakenai Deshou,Picture book,UNKNOWN,,
NHK Enterprises,"Zannen na Ikimono Jiten, Element Hunters, Zannen na Ikimono Jiten (2019)","Picture book, Original","Comedy, Slice of Life, Sci-Fi",,
Nakamura Production,Hell Target,Unknown,"Horror, Sci-Fi",,
Namu Animation,"Shuudengo, Capsule Hotel de, Joushi ni Binetsu Tsutawaru Yoru., Bloodivores, Yi Ren Zhi Xia","Manga, Web manga","Action, Mystery, Supernatural, Action, Supernatural, Romance, Hentai",,
Neft Film,"Zonmi-chan: Halloween☆Special Movie!, Zonmi-chan: Meat Pie of the Dead",Original,"Comedy, Horror, Comedy, Horror, Supernatural",,
Nekonigashi Inc.,Aru Nihon no Ekaki Shounen,Original,"Avant Garde, Award Winning, Comedy",,
Network Kouenji Studio,Urban Square: Kohaku no Tsuigeki,Original,"Action, Mystery",,
New Deer,Ikimono-san,Other,"Avant Garde, Comedy",,
New Generation,"Anata wa Watashi no Mono, Imouto wa Gal Kawaii, Yuutousei Ayaka no Uraomote, Shoujo Ramune, Oyasumi Sex, Ane Yome Quartet, Boku wa Chiisana Succubus no Shimobe, Hajimete no Hitozuma, Toshi Densetsu Series, Lovely ♡, Iinari! Saimin Kanojo, J* Genkai Koubi: Goui Sounyuu de Bachibachi Niku Anaka, Shoujo Kyouiku RE, Tamashii Insert, Kimi Omou Koi","Visual novel, Light novel, Manga","Hentai, Supernatural, Hentai",,
Next Media Animation,"Double Hard, Karen Senki, Spy Penguin (ONA): White Christmas, An Atheist's Christmas, Kyoufu Shinbun (2014), I Got Socks for Christmas, Spy Penguin, Spy Penguin (ONA), Kurokan, Get Your Elf On, Yahabe, Undies from Granny","Manga, Original, Unknown","Sports, Action, Comedy, UNKNOWN, Adventure, Fantasy, Action, Sci-Fi, Fantasy, Horror, Supernatural",,0.0
Nexus,"Granbelm, Rakudai Kishi no Cavalry, Santa Company, Comic Girls, Kage no Jitsuryokusha ni Naritakute!, Wakaba*Girl: Onsen Tsukaritai, Darwin's Game, Kage no Jitsuryokusha ni Naritakute! 2nd Season, Wakaba*Girl, Darwin's Game: Log Line","Light novel, Manga, Original, 4-koma manga","Action, Mystery, Action, Comedy, Fantasy, Fantasy, Action, Mystery, Sci-Fi, Action, Fantasy, Romance, Ecchi, Action, Fantasy, Comedy, Slice of Life",,
Nice Boat Animation,"Da Li Si Rizhi, Zhongguo Hao Gushi, Zuori Qing Kong, Dahufa, Wu Shan Wu Xing (2020), Shuo Feng: Po Zhen Zi, Fengyu Lang Qiao","Manga, Original, Novel, Web manga","Action, Adventure, Fantasy, Drama, Romance, Slice of Life, Action, Suspense, Action, Drama, Action, Adventure, Action, Fantasy, Action, Comedy, Mystery",,
Nihikime no Dozeu,"Houkago 2: Sayuri, Oppai Heart: Kanojo wa Kedamono Hatsujouki!?, Kotowari: Kimi no Kokoro no Koboreta Kakera",Visual novel,Hentai,,
Nihon Ad Systems,"Shin Chuuka Ichiban! 2nd Season, Shin Chuuka Ichiban!",Manga,"Comedy, Gourmet",,
Nippon Animation,"Flanders no Inu, Chiisana Viking Vickie, Mitsubachi Maya no Bouken, Choujin Locke: Lord Leon, Sore Ike! Zukkoke Sannin-gumi, Makiba no Shoujo Katri, Alps no Shoujo Heidi (1979), on-chan, Yume Power Daibouken!, Ao no Orchestra, Chibi Maruko-chan Movie: Italia kara Kita Shounen, Watashitachi no Mirai, Porphy no Nagai Tabi Specials, Hungry Heart: Wild Striker, Boukensha: The Man Was from Spain, Bakuten Shoot Beyblade the Movie: Gekitou!! Takao vs. Daichi, B-Legend! Battle B-Daman, Bosco Daibouken, Flanders no Inu Specials, Bakutou Sengen Daigunder, Ie Naki Ko Remy, Choujin Locke, Daisetsusan no Yuusha Kibaou, Akage no Anne: Green Gables e no Michi, Pygmalio, Ikinari Dagon, Hunter x Hunter: Greed Island Final, Shiritsu Araiso Koutougakkou Seitokai Shikkoubu, Nangoku Shounen Papuwa-kun, Mama wa Poyopoyo Saurus ga Osuki, Maegami Tarou, Heavy, Planetarium Chibi Maruko-chan, Hoshi ni Negai wo, Pinocchio yori Piccolino no Bouken, Topo Gigio, Wakakusa Monogatari: Nan to Jo-sensei Specials, Anime Koten Bungaku Kan, Araiguma Rascal, Perrine Monogatari Movie, Mori no Tonto-tachi, Seton Doubutsuki: Kuma no Ko Jacky, Haha wo Tazunete Sanzenri Specials, Meitantei Rascal, Hamelin no Violin Hiki: The Movie, Alps no Shoujo Heidi: Alm no Yama-hen, Seishun Anime Zenshuu Specials, Porphy no Nagai Tabi, Bio Sekai Meisaku Gekijou, Perrine Monogatari Specials, Chogattai Majutsu Robot Ginguiser Specials, Mirai Shounen Conan 2: Taiga Daibouken, Kuni-chan no Ikka Ranran, Dokidoki♡Densetsu: Mahoujin Guruguru, Sinbad: Soratobu Hime to Himitsu no Shima Pilot, Yaku nara Mug Cup mo, Cosmic Baton Girl Comet-san☆, Chuck Shimezou, Little Lulu to Chicchai Nakama, Wanwan Sanjuushi, Chikyuu wo Mitsumete, Ai no Wakakusa Monogatari Specials, Alps no Shoujo Heidi, Alps no Shoujo Heidi: Heidi to Clara-hen, Ganbare! Bokura no Hit and Run, Les Misérables: Shoujo Cosette, Arabian Nights: Sindbad no Bouken (TV), Marco: Haha wo Tazunete Sanzenri, Tom Sawyer no Bouken Specials, Mirai Shounen Conan, Yakyuukyou no Uta: Kita no Ookami Minami no Tora, Shoukoushi Cedie Specials, Kaze no Naka no Shoujo: Kinpatsu no Jeanie, Maji, Super Fishing Grander Musashi, Ikuze! Gen-san, Seton Doubutsuki: Risu no Banner, Ukkari Pénélope OVA, Corrector Yui, Nanatsu no Umi no Tico, Chibi Maruko-chan Movie, Hunter x Hunter: Greed Island, Jungle Book Shounen Mowgli, Perrine Monogatari, Akage no Anne, Hyakko, Shin Chou Kyou Ryo: Condor Hero III, Chibi Maruko-chan: Watashi no Suki na Uta, Yakyuukyou no Uta, Ashita e Attack!, Heisei Inu Monogatari Bow Movie, Haha wo Tazunete Sanzenri (Movie), Ai no Wakakusa Monogatari, Araiguma Rascal Specials, Haikara-san ga Tooru Movie 2: Hana no Tokyo Dai Roman, Hitomi no Naka no Shounen: Juugo Shounen Hyouryuuki, Ai Shoujo Pollyanna Story Specials, Ie Naki Ko Remy Specials, Mirai Shounen Conan: Kyodaiki Gigant no Fukkatsu, Hanasaka Tenshi Tenten-kun, Fantastic Children: Befort no Kodomo-tachi no Sonogo, Yamato Takeru: After War, Tondemo Nezumi Daikatsuyaku, Seiyou Kottou Yougashiten: Antique, Mirai Shounen Conan (Movie), Trapp Ikka Monogatari Specials, Tom Sawyer no Bouken, Yama Nezumi Rocky Chuck, Nanatsu no Umi no Tico Specials, Fantastic Children, Blocker Gundan IV Machine Blaster, Papuwa, Hakushon Daimaou 2020, Ani x Para: Anata no Hero wa Dare desu ka, Konnichiwa Anne: Before Green Gables Specials, Uchuusen Sagittarius, Shin Chou Kyou Ryo: Condor Hero II, Shin Grimm Meisaku Gekijou, Chogattai Majutsu Robot Ginguiser, Nodoka Mori no Doubutsu Daisakusen, Ai to Yuuki no Pig Girl Tonde Buurin, Konnichiwa Anne: Before Green Gables, Watashi no Ashinaga Ojisan Specials, Meiken Lassie: Yume ni Mukatte Hashire!, Karl to Fushigi na Tou, Haikara-san ga Tooru, Alps Monogatari: Watashi no Annette Specials, Ore wa Teppei, Nangoku Shounen Papuwa-kun: Hoshifuru Yoru ni Aimashou, Princess Sara Specials, Grimm Meisaku Gekijou, Utsunomiko, Sinbad: Mahiru no Yoru to Fushigi no Mon, Shin Chou Kyou Ryo: Condor Hero, Sinbad: Mahou no Lamp to Ugoku Shima, Choujin Locke: Shinsekai Sentai, Heisei Inu Monogatari Bow, Anime 80-nichikan Sekai Isshuu, Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone Specials, Meiken Lassie Specials, Ukkari Pénélope (2009), Yumemiru Topo Gigio, Akage no Anne Specials, Minami no Niji no Lucy, Flanders no Inu (Movie), Yamato Takeru, Alps Monogatari: Watashi no Annette, Fushigi no Kuni no Alice Specials, Meme Iroiro Yume no Tabi, Hunter x Hunter, Fushigi no Kuni no Alice, Ai no Gakkou Cuore Monogatari, Bakuten Shoot Beyblade G Revolution, Chuuka Ichiban!, Peter Pan no Bouken, Mahoujin Guru Guru Movie, Grander Musashi RV, Poka Poka Mori no Rascal, Manga Aesop Monogatari (TV), Bakuten Shoot Beyblade 2002, Hey! Bumboo, Bucchigiri, Tsurikichi Sanpei, Peter Pan no Bouken Specials, Mikan Enikki Specials, Chibi Maruko-chan, Kikansha Sensei, Hunter x Hunter: Original Video Animation, Little El Cid no Bouken, Rita to Nantoka, Ai Shoujo Pollyanna Story, Chou Zenmairobo: Patrasche, Princess Sara, Mahoujin Guruguru, Card Wang: Mix Master, Shoukoushi Cedie, Moero! Top Striker, Joou Heika no Petite Angie, Genbanojou, Koguma no Misha, Shin Mitsubachi Maya no Bouken, Mahoutsukai Haley no Speed Story, Wakakusa Monogatari: Nan to Jo-sensei, Watashi no Ashinaga Ojisan, Les Misérables: Shoujo Cosette Specials, Seishun Anime Zenshuu, Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai, Sinbad: Soratobu Hime to Himitsu no Shima, Ikkyuu-san (1978), Fushigi na Koala Blinky, Meiken Lassie, Anne no Nikki: Anne Frank Monogatari, Wakakusa no Charlotte, Miyori no Mori, Romeo no Aoi Sora, Dokaben, Yamato Nadeshiko Shichihenge♥, Hyakko Extra, Tottoi, Ie Naki Ko Remy Specials (2001), Sougen no Shoujo Laura, Boku wa Ou-sama, Momoiro no Crayon, Daisougen no Chiisana Tenshi: Bush Baby Specials, Love All Play, Fuusen no Doratarou, Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone, Jungle Wars, Minami no Niji no Lucy Specials, Muka Muka Paradise, Makiba no Shoujo Katri Specials, Haha wo Tazunete Sanzenri, Sango Shou Densetsu: Aoi Umi no Elfie, Mikan Enikki, Trapp Ikka Monogatari, Chibi Maruko-chan (1995), Shin Captain Tsubasa, Daisougen no Chiisana Tenshi: Bush Baby, Ukkari Pénélope, Sakura Momoko Gekijou: Coji-Coji, Romeo no Aoi Sora Specials, Yaku nara Mug Cup mo: Niban Gama","Picture book, Light novel, Manga, Other, Book, Game, Novel, Original, Unknown, Web manga","Sci-Fi, Adventure, Comedy, Drama, Sci-Fi, Action, Adventure, Comedy, Sci-Fi, Sports, Drama, Romance, Slice of Life, Adventure, Comedy, Fantasy, Comedy, Action, Adventure, Sci-Fi, Adventure, Fantasy, Mystery, Adventure, Comedy, Adventure, Drama, Sci-Fi, Mystery, Boys Love, Comedy, Sports, Adventure, Fantasy, Comedy, Slice of Life, Comedy, Romance, Drama, Sports, Adventure, Sports, Adventure, Drama, Adventure, Romance, Adventure, Drama, Romance, UNKNOWN, Action, Drama, Sports, Drama, Slice of Life, Adventure, Mystery, Action, Comedy, Drama, Gourmet, Adventure, Drama, Slice of Life, Award Winning, Comedy, Slice of Life, Adventure, Fantasy, Mystery, Romance, Sci-Fi, Suspense, Comedy, Slice of Life, Sports, Drama, Romance, Comedy, Sci-Fi, Adventure, Action, Adventure, Drama, Romance, Slice of Life, Comedy, Horror, Boys Love, Comedy, Gourmet, Adventure, Slice of Life, Adventure, Comedy, Sci-Fi, Action, Adventure, Fantasy, Sci-Fi, Action, Sci-Fi, Action, Adventure, Fantasy, Comedy, Romance, Slice of Life, Sports, Comedy, Gourmet, Fantasy, Adventure, Fantasy, Romance, Drama, Adventure, Comedy, Drama, Action, Sports, Comedy, Fantasy, Romance, Drama, Fantasy, Slice of Life, Comedy, Fantasy, Adventure, Sci-Fi",0.0,2.0
